iteration;score mcmc;score pval;
1;0.822222;0.866667;-0.044445
2;0.977778;0.955556;0.022222
3;0.977778;0.977778;0
4;0.955556;0.955556;0
5;0.822222;0.866667;-0.044445
6;0.955556;0.955556;0
7;0.933333;0.933333;0
8;0.977778;0.933333;0.044445
9;0.955556;0.955556;0
10;0.955556;0.955556;0
11;0.955556;0.955556;0
12;0.955556;0.977778;-0.022222
13;0.955556;0.955556;0
14;0.866667;0.822222;0.044445
15;0.933333;0.955556;-0.022223
16;0.955556;0.977778;-0.022222
17;0.911111;0.955556;-0.044445
18;0.955556;0.955556;0
19;0.977778;0.977778;0
20;0.977778;0.933333;0.044445
21;0.955556;0.955556;0
22;0.911111;0.911111;0
23;0.933333;0.933333;0
24;0.955556;0.955556;0
25;0.955556;0.844444;0.111112
26;0.977778;0.955556;0.022222
27;0.955556;0.933333;0.022223
28;0.911111;0.911111;0
29;0.933333;0.911111;0.022222
30;0.888889;0.955556;-0.066667
31;0.977778;0.955556;0.022222
32;0.977778;0.977778;0
33;0.933333;0.955556;-0.022223
34;0.933333;0.911111;0.022222
35;0.844444;0.822222;0.022222
36;0.955556;0.911111;0.044445
37;0.911111;0.955556;-0.044445
38;0.911111;0.933333;-0.022222
39;0.977778;0.955556;0.022222
40;1;0.977778;0.022222
41;0.911111;0.977778;-0.066667
42;0.977778;0.955556;0.022222
43;0.888889;0.866667;0.022222
44;0.933333;0.955556;-0.022223
45;0.955556;0.955556;0
46;0.955556;0.955556;0
47;0.955556;0.955556;0
48;0.955556;0.977778;-0.022222
49;0.933333;0.955556;-0.022223
50;0.933333;0.977778;-0.044445
51;0.933333;0.933333;0
52;0.977778;0.955556;0.022222
53;0.933333;0.955556;-0.022223
54;0.955556;0.955556;0
55;0.933333;0.888889;0.044444
56;0.977778;0.977778;0
57;0.977778;0.977778;0
58;0.977778;0.977778;0
59;0.955556;0.933333;0.022223
60;0.955556;0.955556;0
61;0.977778;0.911111;0.066667
62;0.977778;0.977778;0
63;0.911111;0.955556;-0.044445
64;0.977778;0.977778;0
65;0.955556;0.955556;0
66;0.822222;0.822222;0
67;0.955556;0.955556;0
68;0.977778;0.977778;0
69;0.933333;0.888889;0.044444
70;0.955556;0.933333;0.022223
71;1;0.977778;0.022222
72;0.977778;0.933333;0.044445
73;0.911111;0.866667;0.044444
74;0.644444;0.666667;-0.022223
75;0.955556;0.955556;0
76;0.933333;0.955556;-0.022223
77;0.933333;0.955556;-0.022223
78;0.977778;0.977778;0
79;0.933333;0.933333;0
80;1;1;0
81;0.955556;0.955556;0
82;0.955556;0.955556;0
83;0.911111;0.977778;-0.066667
84;0.955556;0.955556;0
85;0.933333;0.911111;0.022222
86;0.977778;0.933333;0.044445
87;0.977778;0.977778;0
88;0.822222;0.822222;0
89;0.955556;0.888889;0.066667
90;0.911111;0.933333;-0.022222
91;0.955556;0.955556;0
92;0.955556;0.933333;0.022223
93;0.933333;0.977778;-0.044445
94;0.977778;0.977778;0
95;0.955556;0.977778;-0.022222
96;0.844444;0.866667;-0.022223
97;0.955556;0.955556;0
98;0.955556;0.911111;0.044445
99;0.955556;0.911111;0.044445
100;0.955556;0.955556;0
101;0.866667;0.888889;-0.022222
102;0.933333;0.955556;-0.022223
103;0.911111;0.933333;-0.022222
104;0.955556;0.933333;0.022223
105;0.955556;0.955556;0
106;0.977778;0.955556;0.022222
107;0.977778;0.977778;0
108;0.755556;0.755556;0
109;0.955556;0.955556;0
110;0.911111;0.911111;0
111;0.977778;0.977778;0
112;0.977778;0.933333;0.044445
113;0.888889;0.888889;0
;;;0.288884
