iteration;score mcmc;score pval;
1;0.8;0.844444;-0.044444
2;0.866667;0.888889;-0.022222
3;0.923077;0.88;0.043077
4;0.857143;0.827586;0.029557
5;0.814815;0.888889;-0.074074
6;0.866667;1;-0.133333
7;0.814815;0.814815;0
8;0.956522;0.916667;0.039855
9;0.916667;0.88;0.036667
10;0.923077;0.923077;0
11;0.916667;1;-0.083333
12;0.916667;0.96;-0.043333
13;0.827586;0.923077;-0.095491
14;0.774194;0.727273;0.046921
15;0.774194;0.8;-0.025806
16;0.857143;0.827586;0.029557
17;0.888889;0.923077;-0.034188
18;0.916667;0.88;0.036667
19;0.923077;0.857143;0.065934
20;0.896552;0.846154;0.050398
21;0.827586;0.888889;-0.061303
22;0.833333;0.833333;0
23;0.827586;0.857143;-0.029557
24;0.923077;0.88;0.043077
25;0.8;0.833333;-0.033333
26;0.96;0.96;0
27;0.857143;0.896552;-0.039409
28;0.727273;0.8;-0.072727
29;0.857143;0.785714;0.071429
30;0.846154;0.75;0.096154
31;1;0.846154;0.153846
32;0.888889;0.928571;-0.039682
33;0.769231;0.846154;-0.076923
34;0.782609;0.818182;-0.035573
35;0.866667;0.866667;0
36;0.846154;0.8;0.046154
37;0.588235;0.8;-0.211765
38;0.875;0.866667;0.008333
39;0.869565;0.96;-0.090435
40;1;1;0
41;0.869565;0.7;0.169565
42;0.869565;0.909091;-0.039526
43;0.526316;0.666667;-0.140351
44;0.869565;0.909091;-0.039526
45;0.857143;0.888889;-0.031746
46;0.896552;0.896552;0
47;0.916667;0.916667;0
48;0.866667;0.962963;-0.096296
49;0.96;0.923077;0.036923
50;0.9;0.9;0
