Gene id;Gene name;Small pval;Small mcmc;Big pval;Big mcmc;
210774_s_at;NCOA4;1;1;1;1;4
202151_s_at;UBAC1;1;1;1;1;4
200632_s_at;NDRG1;1;1;1;1;4
204503_at;EVPL;1;1;1;1;4
206482_at;PTK6;1;1;1;1;4
215706_x_at;ZYX;1;1;1;1;4
203968_s_at;CDC6;1;1;1;1;4
209212_s_at;KLF5;1;1;1;1;4
204718_at;EPHB6;1;1;1;1;4
211986_at;AHNAK;1;1;1;1;4
209309_at;AZGP1;1;1;1;1;4
204004_at;PAWR;1;1;1;1;4
204380_s_at;FGFR3;1;1;1;1;4
218807_at;VAV3;1;1;1;1;4
205883_at;ZBTB16;1;1;1;1;4
203075_at;SMAD2;1;1;1;1;4
206032_at;DSC3;1;1;1;1;4
203407_at;PPL;1;1;1;1;4
202351_at;ITGAV;1;1;1;1;4
216836_s_at;ERBB2;1;1;1;1;4
220116_at;KCNN2;1;0;1;0;2
201271_s_at;RALY;1;0;1;0;2
209566_at;INSIG2;1;0;1;0;2
212724_at;RND3;1;0;1;0;2
206288_at;PGGT1B;1;0;1;0;2
201849_at;BNIP3;1;0;1;0;2
219152_at;PODXL2;1;0;1;0;2
213604_at;TCEB3;1;0;1;0;2
212761_at;TCF7L2;1;0;1;0;2
202705_at;CCNB2;1;0;1;0;2
206072_at;UCN;1;0;1;0;2
209301_at;CA2;1;0;1;0;2
212748_at;MKL1;1;0;1;0;2
202909_at;EPM2AIP1;1;0;1;0;2
203130_s_at;KIF5C;1;0;1;0;2
218488_at;EIF2B3;1;0;1;0;2
200832_s_at;SCD;1;0;1;0;2
202565_s_at;SVIL;1;0;1;0;2
205384_at;FXYD1;1;0;1;0;2
201084_s_at;BCLAF1;1;0;1;0;2
201874_at;MPZL1;1;0;1;0;2
205372_at;PLAG1;1;0;1;0;2
204424_s_at;LMO3;1;0;1;0;2
203851_at;IGFBP6;1;0;1;0;2
203557_s_at;PCBD1;1;0;1;0;2
201393_s_at;IGF2R;1;0;1;0;2
212339_at;EPB41L1;1;0;1;0;2
47608_at;TJAP1;1;0;1;0;2
215438_x_at;GSPT1;1;0;1;0;2
202958_at;PTPN9;1;0;1;0;2
212989_at;SGMS1;1;0;1;0;2
221766_s_at;FAM46A;1;0;1;0;2
209337_at;PSIP1;1;0;1;0;2
218827_s_at;CEP192;1;0;1;0;2
219970_at;GIPC2;1;0;1;0;2
204479_at;OSTF1;1;0;1;0;2
206419_at;RORC;1;0;1;0;2
218522_s_at;MAP1S;1;0;1;0;2
90265_at;ADAP1;1;0;1;0;2
212891_s_at;GADD45GIP1;1;0;1;0;2
209194_at;CETN2;1;0;1;0;2
203430_at;HEBP2;1;0;1;0;2
202525_at;PRSS8;1;0;1;0;2
203805_s_at;FANCA;1;0;1;0;2
208946_s_at;BECN1;1;0;1;0;2
200085_s_at;TCEB2;1;0;1;0;2
219933_at;GLRX2;1;0;1;0;2
218647_s_at;YRDC;1;0;1;0;2
214280_x_at;HNRNPA1;1;0;1;0;2
203001_s_at;STMN2;1;0;1;0;2
201285_at;MKRN1;1;0;1;0;2
210638_s_at;FBXO9;1;0;1;0;2
209386_at;TM4SF1;1;0;1;0;2
218274_s_at;ANKZF1;1;0;1;0;2
208770_s_at;EIF4EBP2;1;0;1;0;2
213124_at;ZNF473;1;0;1;0;2
200947_s_at;GLUD1;1;0;1;0;2
202501_at;MAPRE2;1;0;1;0;2
207163_s_at;AKT1;1;0;1;0;2
