id;gene;mcmc;rf60;rf90;rf150;rf250
1;TFRC;0.067;0.0;0.0;0.0;0.0
2;SCT;0.0;0.0;0.0;0.0;0.0
3;HTR4;0.003;0.0;0.0;0.0;0.0
4;CRHBP;0.0;0.0;0.0;0.0;0.0
5;HTR6;0.001;0.0;0.0;0.0;0.0
6;CAPNS1;0.005;0.0;0.0;0.0;0.0
7;SCP2;0.001;0.0;0.0;0.0;0.0
8;PRKACA;0.016;0.0;0.0;0.0;0.0
9;PRKACB;0.0;0.0;0.0;0.0;0.0
10;PRKAB2;0.0;0.0;0.0;0.0;0.0
11;UNC5B;0.0;0.0;0.0;0.0;0.0
12;SECISBP2;0.0;0.0;0.0;0.0;0.0
13;ZNF10;0.0;0.0;0.0;0.0;0.0
14;UNC5C;0.0;0.0;0.0;0.0;0.0
15;PRKAB1;0.0;0.0;0.0;0.0;0.0
16;BCR;0.697;0.0;0.0;0.0;0.0
17;SIGIRR;0.0;0.0;0.0;0.0;0.0
18;TFR2;0.003;0.0;0.0;0.0;0.0
19;DDIT3;0.028;0.0;0.0;0.0;0.0
20;DDIT4;0.002;0.0;0.0;0.0;0.0
21;AGTR1;0.076;0.0;0.0;0.0;0.0
22;ORAI2;0.008;0.0;0.0;0.0;0.0
23;AGTR2;0.0;0.0;0.0;0.0;0.0
24;SF1;0.003;0.0;0.0;0.0;0.0
25;SET;0.001;0.0;0.0;0.0;0.0
26;COL13A1;0.0;0.0;0.0;0.0;0.0
27;SHMT2;0.001;0.0;0.0;0.0;0.0
28;SHMT1;0.001;0.0;0.0;0.0;0.0
29;ZNF24;0.034;0.0;0.0;0.0;0.0
30;LARP1;0.065;0.0;0.0;0.0;0.0
31;ADAMTS13;0.0;0.0;0.0;0.0;0.0
32;SFN;0.49;0.0;0.0;0.0;0.0
33;HCRT;0.0;0.0;0.0;0.0;0.0
34;GSTM4;0.002;0.0;0.0;0.0;0.0
35;GSTM3;0.0;0.0;0.0;0.0;0.0
36;GSTM2;0.0;0.0;0.0;0.0;0.0
37;GSTM1;0.0;0.0;0.0;0.0;0.0
38;NEBL;0.002;0.0;0.0;0.0;0.0
39;L1CAM;0.139;0.0;0.0;0.0;0.0
40;DHFR;0.022;0.0;0.0;0.0;0.0
41;PPFIBP1;0.008;0.0;0.0;0.0;0.0
42;PPFIBP2;0.567;0.0;0.0;0.0;0.0
43;FXYD3;0.0;0.0;0.0;0.0;0.0
44;PKIA;0.015;0.0;0.0;0.0;0.0
45;FXYD2;0.0;0.0;0.0;0.0;0.0
46;FXYD1;0.22;0.0;0.0;0.0;0.0
47;FXYD7;0.001;0.0;0.0;0.0;0.0
48;FXYD6;0.005;0.0;0.0;0.0;0.0
49;STRN;0.003;0.0;0.0;0.0;0.0
50;PKIG;0.0;0.0;0.0;0.0;0.0
51;DZIP3;0.0;0.0;0.0;0.0;0.0
52;KCNC1;0.002;0.0;0.0;0.0;0.0
53;PRKAG1;0.0;0.0;0.0;0.0;0.0
54;PRKAG2;0.0;0.0;0.0;0.0;0.0
55;SHB;0.099;0.0;0.0;0.0;0.0
56;MMP20;0.0;0.0;0.0;0.0;0.0
57;MMP25;0.0;0.0;0.0;0.0;0.0
58;SHH;0.0;0.0;0.0;0.0;0.0
59;MMP24;0.0;0.0;0.0;0.0;0.0
60;MMP26;0.0;0.0;0.0;0.0;0.0
61;ZNF41;0.002;0.0;0.0;0.0;0.0
62;NEFL;0.0;0.0;0.0;0.0;0.0
63;NEFM;0.001;0.0;0.0;0.0;0.0
64;NEFH;0.007;0.0;0.0;0.0;0.0
65;APC2;0.004;0.0;0.0;0.0;0.0
66;MYBPC3;0.0;0.0;0.0;0.0;0.0
67;MYBPC1;0.0;0.0;0.0;0.0;0.0
68;KCND1;0.0;0.0;0.0;0.0;0.0
69;KCND2;0.0;0.0;0.0;0.0;0.0
70;GSTO1;0.031;0.0;0.0;0.0;0.0
71;KCND3;0.0;0.0;0.0;0.0;0.0
72;BGN;0.0;0.0;0.0;0.0;0.0
73;MMP10;0.0;0.0;0.0;0.0;0.0
74;MMP12;0.0;0.0;0.0;0.0;0.0
75;MMP11;0.002;0.0;0.0;0.0;0.0
76;MMP14;0.104;0.0;0.0;0.0;0.0
77;MMP13;0.003;0.0;0.0;0.0;0.0
78;MMP16;0.0;0.0;0.0;0.0;0.0
79;MMP15;0.001;0.0;0.0;0.0;0.0
80;PTRH2;0.0;0.0;0.0;0.0;0.0
81;MMP17;0.002;0.0;0.0;0.0;0.0
82;RAPGEF1;0.001;0.0;0.0;0.0;0.0
83;RAPGEF2;0.0;0.0;0.0;0.0;0.0
84;MMP19;0.0;0.0;0.0;0.0;0.0
85;CRYAA;0.001;0.0;0.0;0.0;0.0
86;RAPGEF5;0.0;0.0;0.0;0.0;0.0
87;CRYAB;0.016;0.0;0.0;0.0;0.0
88;RAPGEF6;0.004;0.0;0.0;0.0;0.0
89;RAPGEF3;0.0;0.0;0.0;0.0;0.0
90;RAPGEF4;0.004;0.0;0.0;0.0;0.0
91;APCS;0.0;0.0;0.0;0.0;0.0
92;GSTP1;0.003;0.0;0.0;0.0;0.0
93;KCNA1;0.0;0.0;0.0;0.0;0.0
94;KCNA2;0.0;0.0;0.0;0.0;0.0
95;PTAFR;0.0;0.0;0.0;0.0;0.0
96;KCNA3;0.0;0.0;0.0;0.0;0.0
97;ADAM22;0.0;0.0;0.0;0.0;0.0
98;KCNA4;0.0;0.0;0.0;0.0;0.0
99;KCNA5;0.001;0.0;0.0;0.0;0.0
100;ADAM28;0.0;0.0;0.0;0.0;0.0
101;PLAGL1;0.211;0.0;0.0;0.0;0.0
102;ADAM23;0.0;0.0;0.0;0.0;0.0
103;STX6;0.0;0.0;0.0;0.0;0.0
104;STX5;0.008;0.0;0.0;0.0;0.0
105;PLAGL2;0.0;0.0;0.0;0.0;0.0
106;STX4;0.0;0.0;0.0;0.0;0.0
107;STX3;0.129;0.0;0.0;0.0;0.0
108;BID;0.039;0.0;0.0;0.0;0.0
109;STX2;0.0;0.0;0.0;0.0;0.0
110;SPDEF;0.0;0.0;0.0;0.0;0.0
111;MBD3;0.001;0.0;0.0;0.0;0.0
112;EGLN1;0.0;0.0;0.0;0.0;0.0
113;MBD4;0.001;0.0;0.0;0.0;0.0
114;EGLN3;0.0;0.0;0.0;0.0;0.0
115;PKLR;0.0;0.0;0.0;0.0;0.0
116;KCNB1;0.002;0.0;0.0;0.0;0.0
117;BIK;0.002;0.0;0.0;0.0;0.0
118;MCRS1;0.008;0.0;0.0;0.0;0.0
119;MBD1;0.003;0.0;0.0;0.0;0.0
120;KCNB2;0.0;0.0;0.0;0.0;0.0
121;MBD2;0.003;0.0;0.0;0.0;0.0
122;SCTR;0.0;0.0;0.0;0.0;0.0
123;ZNF76;0.003;0.0;0.0;0.0;0.0
124;BBOX1;0.001;0.0;0.0;0.0;0.0
125;BMP8B;0.0;0.0;0.0;0.0;0.0
126;TARBP2;0.012;0.0;0.0;0.0;0.0
127;ARCN1;0.0;0.0;0.0;0.0;0.0
128;SKI;0.012;0.0;0.0;0.0;0.0
129;ZNF74;0.004;0.0;0.0;0.0;0.0
130;ADAM3B;0.0;0.0;0.0;0.0;0.0
131;PKN2;0.001;0.0;0.0;0.0;0.0
132;PKN1;0.025;0.0;0.0;0.0;0.0
133;KCNG1;0.0;0.0;0.0;0.0;0.0
134;KCNG2;0.0;0.0;0.0;0.0;0.0
135;MTCH1;0.0;0.0;0.0;0.0;0.0
136;MTCH2;0.001;0.0;0.0;0.0;0.0
137;RASL11B;0.004;0.0;0.0;0.0;0.0
138;PDCD6;0.004;0.0;0.0;0.0;0.0
139;PDCD5;0.002;0.0;0.0;0.0;0.0
140;FBXO28;0.0;0.0;0.0;0.0;0.0
141;SLA;0.0;0.0;0.0;0.0;0.0
142;MSI1;0.0;0.0;0.0;0.0;0.0
143;IL1RAP;0.003;0.0;0.0;0.0;0.0
