id,gene,mcmc,rf60,rf90,rf150,rf250
1,TFRC,0.0,0.0,0.0,0.0,0.0
2,SCT,0.0,0.0,0.0,0.0,0.0
3,HTR4,0.0,0.0,0.0,0.0,0.0
4,CRHBP,0.0,0.0,0.0,0.0,0.0
5,HTR6,0.0,0.0,0.0,0.0,0.0
6,HTR7,0.0,0.0,0.0,0.0
7,CAPNS1,0.0,0.0,0.0,0.0,0.0
8,SCP2,0.0,0.0,0.0,0.0,0.0
9,PRKACA,0.0,0.0,0.0,0.0,0.0
10,PRKACB,0.0,0.0,0.0,0.0,0.0
11,PRKAB2,0.0,0.0,0.0,0.0,0.0
12,UNC5B,0.0,0.0,0.0,0.0,0.0
13,SECISBP2,0.0,0.0,0.0,0.0,0.0
14,ZNF10,0.0,0.0,0.0,0.0,0.0
15,UNC5C,0.0,0.0,0.0,0.0,0.0
16,PRKAB1,0.0,0.0,0.0,0.0,0.0
17,BCR,0.0,0.0,0.0,0.0,0.0
18,SIGIRR,0.0,0.0,0.0,0.0,0.0
19,TFR2,0.0,0.0,0.0,0.0,0.0
20,DDIT3,0.0,0.0,0.0,0.0,0.0
21,DDIT4,0.0,0.0,0.0,0.0,0.0
22,AGTR1,0.266,0.0,0.0,0.0,0.0
23,ORAI2,0.0,0.0,0.0,0.0,0.0
24,AGTR2,0.0,0.0,0.0,0.0,0.0
25,SF1,0.0,0.0,0.0,0.0,0.0
26,SET,0.001,0.0,0.0,0.0,0.0
27,COL13A1,0.0,0.0,0.0,0.0,0.0
28,SHMT2,0.0,0.0,0.0,0.0,0.0
29,SHMT1,0.0,0.0,0.0,0.0,0.0
30,ZNF24,0.0,0.0,0.0,0.0,0.0
31,LARP1,0.0,0.0,0.0,0.0,0.0
32,ADAMTS13,0.0,0.0,0.0,0.0,0.0
33,SFN,0.0,0.0,0.0,0.0,0.0
34,HCRT,0.0,0.0,0.0,0.0,0.0
35,GSTM4,0.0,0.0,0.0,0.0,0.0
36,GSTM3,0.0,0.0,0.0,0.0,0.0
37,GSTM2,0.0,0.0,0.0,0.0,0.0
38,PRPF38B,0.0,0.0,0.0,0.0
39,GSTM1,0.0,0.0,0.0,0.0,0.0
40,NEBL,0.0,0.0,0.0,0.0,0.0
41,L1CAM,0.0,0.0,0.0,0.0,0.0
42,DHFR,0.0,0.0,0.0,0.0,0.0
43,PPFIBP1,0.0,0.0,0.0,0.0,0.0
44,PPFIBP2,0.0,0.0,0.0,0.0,0.0
45,FXYD3,0.0,0.0,0.0,0.0,0.0
46,PKIA,0.0,0.0,0.0,0.0,0.0
47,FXYD2,0.0,0.0,0.0,0.0,0.0
48,FXYD1,0.0,0.0,0.0,0.0,0.003381
49,FXYD7,0.0,0.0,0.0,0.0,0.0
50,STRN,0.0,0.0,0.0,0.0,0.0
51,FXYD6,0.0,0.0,0.0,0.0,0.0
52,PKIG,0.0,0.0,0.0,0.0,0.0
53,DZIP1,0.0,0.0,0.0,0.0
54,DZIP3,0.0,0.0,0.0,0.0,0.0
55,KCNC1,0.0,0.0,0.0,0.0,0.0
56,PRKAG1,0.0,0.0,0.0,0.0,0.0
57,PRKAG2,0.0,0.0,0.0,0.0,0.0
58,SHB,0.0,0.0,0.0,0.0,0.0
59,MMP20,0.0,0.0,0.0,0.0,0.0
60,MMP25,0.0,0.0,0.0,0.0,0.0
61,SHH,0.0,0.0,0.0,0.0,0.0
62,MMP24,0.0,0.0,0.0,0.0,0.0
63,MMP26,0.0,0.0,0.0,0.0,0.0
64,ZNF41,0.0,0.0,0.0,0.0,0.0
65,NEFL,0.0,0.0,0.0,0.0,0.0
66,NEFM,0.0,0.0,0.0,0.0,0.0
67,NEFH,0.0,0.0,0.0,0.0,0.0
68,MYBPC3,0.0,0.0,0.0,0.0,0.0
69,APC2,0.0,0.0,0.0,0.0,0.0
70,MYBPC1,0.0,0.0,0.0,0.0,0.0
71,KCND1,0.0,0.0,0.0,0.0,0.0
72,MYBPC2,0.0,0.0,0.0,0.0
73,KCND2,0.0,0.0,0.0,0.0,0.0
74,KCND3,0.0,0.0,0.0,0.0,0.0
75,GSTO1,0.0,0.015167,0.010111,0.006067,0.00364
76,BGN,0.0,0.0,0.0,0.0,0.0
77,MMP10,0.0,0.0,0.0,0.0,0.0
78,MMP12,0.0,0.0,0.0,0.0,0.0
79,MMP11,0.0,0.0,0.0,0.0,0.003685
80,MMP14,0.0,0.0,0.0,0.0,0.0
81,MMP13,0.0,0.0,0.0,0.0,0.0
82,MMP16,0.0,0.0,0.0,0.0,0.0
83,MMP15,0.0,0.0,0.0,0.0,0.0
84,PTRH2,0.0,0.0,0.0,0.0,0.0
85,MMP17,0.0,0.0,0.0,0.0,0.0
86,RAPGEF1,0.0,0.0,0.0,0.0,0.0
87,RAPGEF2,0.0,0.0,0.0,0.0,0.0
88,MMP19,0.0,0.0,0.0,0.0,0.0
89,RAPGEF5,0.0,0.0,0.0,0.0,0.0
90,CRYAA,0.0,0.0,0.0,0.0,0.0
91,RAPGEF6,0.0,0.0,0.0,0.0,0.0
92,CRYAB,0.0,0.0,0.0,0.0,0.0
93,RAPGEF3,0.0,0.0,0.0,0.0,0.0
94,RAPGEF4,0.0,0.0,0.0,0.0,0.0
95,APCS,0.0,0.0,0.0,0.0,0.0
96,GSTP1,0.0,0.0,0.0,0.0,0.0
97,KCNA1,0.0,0.0,0.0,0.0,0.0
98,KCNA2,0.0,0.0,0.0,0.0,0.0
99,PTAFR,0.0,0.0,0.0,0.0,0.0
100,KCNA3,0.0,0.0,0.0,0.0,0.0
101,ADAM22,0.0,0.0,0.0,0.0,0.0
102,KCNA4,0.0,0.0,0.0,0.0,0.0
103,KCNA5,0.0,0.0,0.0,0.0,0.0
104,ADAM28,0.0,0.0,0.0,0.0,0.0
105,PLAGL1,0.0,0.0,0.0,0.0,0.0
106,ADAM23,0.0,0.0,0.0,0.0,0.0
107,STX6,0.0,0.0,0.0,0.0,0.0
108,STX5,0.0,0.0,0.0,0.0,0.0
109,PLAGL2,0.0,0.0,0.0,0.0,0.0
110,STX4,0.0,0.0,0.0,0.0,0.0
111,STX3,0.0,0.0,0.0,0.0,0.0
112,STX2,0.0,0.0,0.0,0.0,0.0
113,BID,0.0,0.0,0.0,0.0,0.0
114,SPDEF,0.0,0.0,0.0,0.0,0.0
115,MBD3,0.0,0.0,0.0,0.0,0.0
116,EGLN1,0.0,0.0,0.0,0.0,0.0
117,MBD4,0.0,0.0,0.0,0.0,0.0
118,EGLN3,0.0,0.0,0.0,0.0,0.0
119,MBD5,0.0,0.0,0.0,0.0
120,PKLR,0.0,0.0,0.0,0.0,0.0
121,KCNB1,0.0,0.0,0.0,0.0,0.0
122,BIK,0.0,0.0021,0.0014,8.4E-4,5.04E-4
123,MCRS1,0.0,0.0,0.0,0.0,0.0
124,MBD1,0.0,0.0,8.19E-4,4.91E-4,5.74E-4
125,KCNB2,0.0,0.0,0.0,0.0,0.0
126,MBD2,0.0,0.0,0.0,0.0,0.0
127,SCTR,0.0,0.0,0.0,0.0,0.0
128,BMP8B,0.0,0.0,0.0,0.0,0.0
129,ZNF76,0.0,0.0,0.0,0.0,0.0
130,BBOX1,0.0,0.0,0.0,0.0,0.0
131,TARBP2,0.0,0.0,0.0,0.0,0.0
132,ARCN1,0.0,0.0,0.0,0.0,0.0
