geo_access;TRPM4;NLGN4X;COL4A5;ZBTB5;AKAP4;NAPA;OLFM4;FBXL14;NPPB;CLASP1;SMAGP;PPBP;TNS2;MAP1B;ACE;VPS4B;ATP6V1D;PRKCA;CRIPT;OPA3;verdict
GSM71678;512.1;203.7;344.0;908.2;28.8;2018.9;8.3;395.2;8.7;708.8;768.3;29.5;1026.6;1656.9;135.5;2187.4;1944.8;334.2;196.2;73.4;1
GSM71679;1306.5;82.5;431.7;910.9;13.6;1986.3;4.3;362.5;6.5;572.0;679.4;9.3;1021.2;1343.9;29.8;685.9;1864.9;393.3;201.7;170.1;1
GSM71680;61.3;108.7;136.8;607.1;20.0;1218.0;9.0;348.5;101.2;611.8;579.2;1574.1;1488.8;1994.9;79.3;687.9;867.4;460.0;99.8;122.4;1
GSM71681;458.7;55.1;898.4;1491.6;15.5;1666.7;28.9;319.3;98.4;554.8;1088.8;18.0;939.2;1529.3;111.6;1457.5;1294.5;306.1;349.4;121.9;1
GSM71682;239.4;15.9;417.6;980.6;28.0;1653.8;6.3;546.0;51.7;684.2;748.2;9.7;860.0;859.7;79.4;550.3;1540.3;315.5;214.2;47.6;1
GSM71683;419.8;65.6;405.3;1187.3;23.4;1980.6;40.7;410.6;73.4;797.8;1205.4;19.3;662.5;837.0;44.6;1081.9;1454.8;331.2;231.9;71.0;1
GSM71684;327.6;51.0;320.7;1052.4;125.0;2082.6;2.4;573.0;67.0;879.0;699.1;100.6;915.5;1609.3;55.1;1354.8;1924.2;338.1;194.5;51.8;1
GSM71685;537.4;80.6;963.1;1633.2;142.2;1729.7;2.0;311.9;20.8;687.3;716.1;41.2;725.8;1468.2;99.5;1478.3;1459.6;367.5;246.9;82.1;1
GSM71686;86.9;50.5;448.3;994.9;14.2;1359.7;2.6;485.4;10.4;638.5;491.6;26.7;944.9;1165.5;110.6;2473.8;1669.3;554.5;192.4;83.3;1
GSM71687;195.1;70.8;641.2;874.1;79.9;1263.5;5.0;406.2;66.6;761.3;544.7;13.2;945.9;2043.9;96.4;1425.8;1575.8;1205.6;126.3;124.4;1
GSM71688;68.3;47.0;414.0;1119.1;42.8;1625.4;26.2;435.5;70.5;909.7;857.4;8.1;854.2;993.2;185.2;1297.9;1351.8;370.7;248.0;98.6;1
GSM71689;95.1;378.2;919.1;838.8;72.9;142.9;2.2;549.8;87.2;437.5;959.2;82.4;455.3;1618.3;49.4;2190.9;1771.4;1191.3;222.5;5.4;1
GSM71690;181.4;161.9;373.4;1159.8;20.6;2042.8;12.3;514.9;6.3;631.0;832.0;12.3;807.7;1044.6;40.5;929.1;1079.3;768.4;195.6;7.5;1
GSM71691;203.2;83.7;339.9;861.5;40.1;1518.9;33.3;376.2;195.4;526.6;285.7;108.2;907.8;1535.4;109.4;979.6;1466.8;609.3;172.7;101.1;1
GSM71692;22.6;161.1;1010.0;901.9;129.1;419.9;16.5;425.6;314.4;468.1;769.7;20.8;459.6;1370.1;32.8;2550.4;3374.2;808.7;144.7;10.8;1
GSM71693;119.5;105.0;740.8;1091.1;18.6;1872.1;5.2;368.2;60.2;675.2;1116.1;21.3;497.1;780.4;31.0;1376.1;1570.1;460.1;164.3;19.2;1
GSM71694;13.6;14.4;2699.9;1422.1;101.6;363.7;46.6;411.9;122.3;850.9;779.9;30.9;388.7;3402.6;113.6;3833.0;4488.9;610.3;481.9;23.2;1
GSM71695;260.9;143.6;519.7;1097.6;112.4;1613.7;3.7;271.4;127.0;778.5;405.0;136.0;1093.3;1488.9;152.9;1429.2;1316.6;633.8;401.9;17.9;1
GSM71696;23.0;7.3;117.1;521.6;20.5;1407.2;2.8;393.1;18.7;830.5;139.8;15.6;499.2;2730.2;68.5;1356.3;2452.4;347.8;116.2;134.4;2
GSM71697;21.8;17.5;149.6;729.1;11.7;1978.6;2.7;284.4;54.6;853.0;51.3;12.0;552.3;1547.6;101.8;1109.0;2586.4;522.0;112.0;145.7;2
GSM71698;41.5;168.5;54.6;576.5;136.0;1120.9;50.3;375.8;51.1;708.5;299.2;37.7;372.7;3502.9;366.1;1910.0;2133.2;162.8;71.1;20.4;2
GSM71699;34.8;27.9;96.3;625.3;127.8;1466.4;153.5;502.2;23.5;740.4;61.2;17.2;839.9;3589.3;84.6;1162.5;2064.7;342.4;48.1;27.8;2
GSM71700;25.4;25.7;112.4;609.7;30.6;1596.9;42.0;358.5;10.3;770.5;117.5;14.0;628.9;1690.6;50.8;1642.6;2211.9;538.6;130.5;59.6;2
GSM71701;24.1;182.8;29.7;779.4;106.4;547.0;26.2;479.5;21.8;741.9;68.7;61.2;622.1;3749.9;239.6;1632.0;2266.1;226.9;104.2;21.1;2
GSM71702;39.8;106.5;111.7;828.0;61.4;2213.7;9.6;456.1;16.3;748.2;70.4;98.4;726.9;1924.9;315.0;1090.4;1912.0;367.1;53.2;39.9;2
GSM71703;28.7;170.7;75.5;579.4;211.2;2014.5;7.6;345.5;129.2;789.0;52.6;22.1;824.0;2834.6;89.7;1102.2;1858.7;303.8;182.2;52.3;2
GSM71704;29.1;237.8;157.2;698.4;44.3;1946.4;7.3;301.9;21.3;830.7;62.9;18.9;850.2;3092.5;306.9;1219.9;2183.5;368.8;118.9;33.0;2
GSM71705;34.1;111.7;74.0;658.3;45.0;2051.6;5.3;377.8;77.6;909.7;57.4;27.8;474.1;1987.1;266.2;1160.0;2192.3;539.2;132.3;31.7;2
GSM71706;28.7;17.2;50.0;791.8;145.3;1494.0;6.3;211.9;14.1;1018.5;59.9;35.6;735.1;3342.6;148.9;1039.2;1908.9;577.1;78.5;35.5;2
GSM71707;30.5;22.8;75.8;687.4;40.4;1619.0;32.0;461.2;64.7;802.0;55.7;100.3;461.2;2789.1;179.8;1652.5;2075.1;152.9;13.2;96.3;2
GSM71708;25.6;136.8;58.9;762.6;39.5;1469.4;4.3;257.5;17.2;995.5;73.4;20.2;647.3;2935.0;40.4;1036.2;1644.6;741.1;60.5;105.7;2
GSM71709;62.1;90.1;263.2;786.6;26.7;1489.5;3.0;336.8;36.5;592.0;342.2;12.1;811.1;1144.9;320.7;2044.0;2102.1;485.1;69.7;14.6;2
GSM71710;22.9;13.3;50.7;766.1;131.4;1388.0;4.8;462.2;11.0;1151.7;46.9;44.2;648.7;1784.0;129.5;1332.5;2142.3;492.7;134.7;84.6;2
GSM71711;16.1;92.1;8.0;533.9;33.7;1728.9;15.5;482.2;7.2;835.3;126.0;12.4;453.7;2199.8;63.9;1472.1;2438.7;322.1;142.8;187.1;2
GSM71712;32.7;109.3;16.5;937.1;30.3;1606.4;56.0;457.1;69.9;1572.6;174.9;34.4;690.8;1874.3;139.9;1256.3;2658.2;335.5;293.8;24.9;2
GSM71713;298.3;167.3;82.2;1053.4;269.2;2153.7;17.8;329.1;33.6;1286.1;70.6;37.3;79.3;3102.6;434.6;963.4;3632.7;115.7;145.5;45.0;2
GSM71714;18.7;101.6;53.0;455.9;56.8;1167.5;15.6;520.1;81.7;830.0;38.2;10.6;407.5;1804.4;134.5;1592.1;2749.3;478.6;169.0;72.3;2
