id,CD81,KRT8,NME3,DYNC1I1,RNPS1,CHD3,PODXL,PICALM,SLC1A3,FCF1,PSMC4,RPE,COL1A2,LIN7C,DEFA6,LIMA1,POLA1,KRTAP9-9,ETS2,VAV3,verdict
1,11268.4,457.4,564.5,348.3,2389.9,1061.3,550.4,1305.2,261.2,106.7,453.8,192.1,11431.7,177.4,62.5,1660.1,248.5,4.9,767.4,1130.8,1
2,10745.0,392.8,714.1,470.0,2322.4,1030.3,234.2,1631.4,251.4,91.6,533.8,329.3,10378.4,136.2,33.7,1573.0,381.3,26.0,755.4,1603.8,1
3,9387.1,353.6,622.8,257.0,2198.0,1416.7,1251.0,1550.6,677.6,53.2,469.8,118.4,39249.2,240.6,32.1,1594.4,258.9,5.7,1340.2,276.4,1
4,8883.5,519.0,696.7,278.6,2230.7,1074.4,362.3,1313.9,163.3,82.5,428.6,503.2,55878.3,167.7,31.8,2601.9,411.2,2.8,1041.2,2200.6,1
5,11459.5,423.1,510.5,402.7,2782.3,1087.5,349.0,1454.1,322.8,49.5,443.3,273.7,6544.2,159.0,26.0,1548.7,467.5,5.1,790.2,1253.5,1
6,7154.5,595.6,853.3,501.6,3322.3,1169.6,400.0,1541.0,496.7,82.6,584.5,212.7,6615.4,272.9,34.8,1931.0,376.7,4.4,1642.3,2016.9,1
7,11281.2,399.2,742.9,564.4,3268.9,1225.0,472.4,1004.0,280.8,14.6,502.3,166.1,13181.7,162.6,63.9,1631.4,304.3,14.3,373.5,929.2,1
8,7568.5,415.4,1111.9,181.9,2376.6,1357.6,387.0,1812.9,576.0,50.4,646.3,339.5,35786.4,138.6,31.3,2159.8,407.5,12.5,1172.5,3767.1,1
9,10499.0,269.3,539.1,525.9,3333.7,1198.5,246.7,1872.4,292.4,109.3,300.7,318.8,5294.8,336.9,26.6,1573.8,562.8,11.6,639.1,877.1,1
10,8977.2,420.1,977.9,533.7,3099.6,1284.7,306.4,1183.9,298.6,59.3,302.4,135.5,9146.6,239.9,25.5,1316.3,531.5,14.8,461.8,1349.7,1
11,10999.3,757.4,532.3,630.2,3040.6,925.3,392.5,1348.9,414.3,37.3,328.0,226.6,12344.6,186.7,16.2,1697.7,390.7,244.0,542.0,1493.5,1
12,3190.9,382.3,425.8,2456.1,3483.6,692.3,458.0,2051.6,235.7,152.7,380.0,111.8,21577.2,591.4,21.2,2673.3,422.3,4.3,522.0,1328.1,1
13,9576.3,799.0,641.6,1159.1,2429.8,1052.7,367.8,1698.7,319.7,36.2,482.1,212.6,15630.5,238.1,46.7,1451.1,315.6,97.2,546.8,1188.5,1
14,10451.5,534.8,1112.6,585.6,3612.8,977.7,204.2,2129.1,252.0,288.4,374.3,190.9,7412.2,395.3,92.6,1328.6,378.9,97.6,885.0,989.3,1
15,1943.2,309.1,596.9,965.5,4416.1,690.6,910.4,1986.7,319.7,205.0,409.5,213.3,14874.3,1140.7,41.1,1979.8,426.8,1177.7,641.6,1582.8,1
16,6668.4,391.2,680.4,577.3,3278.6,1344.2,218.2,1246.1,43.8,75.7,415.9,299.6,4923.0,185.7,21.8,2034.7,400.8,23.9,1471.4,1588.6,1
17,633.7,128.8,320.4,414.8,6822.6,808.4,496.9,1596.4,738.9,209.2,284.0,204.0,5489.6,475.3,30.3,2693.1,350.9,105.8,1274.7,6326.4,1
18,7610.6,459.7,773.9,1110.6,3711.5,1296.5,451.5,1778.6,325.3,147.5,74.1,49.1,11111.1,351.2,36.3,1873.6,383.4,84.1,654.1,1252.8,1
19,11097.6,451.6,644.6,340.6,4310.6,1153.1,585.5,1144.3,173.7,67.8,913.5,218.7,10027.6,265.4,36.9,1473.0,685.6,70.7,329.0,302.5,2
20,12125.4,245.7,825.0,209.9,4421.9,909.3,244.2,1095.5,160.2,22.4,927.1,345.5,18293.3,220.0,46.9,1096.0,600.2,11.8,163.4,312.3,2
21,10094.3,286.9,621.6,478.4,3169.6,1124.5,421.2,1187.8,261.1,60.6,871.5,307.3,11738.2,180.9,24.6,1028.3,428.1,36.0,478.1,257.2,2
22,9639.7,371.9,675.9,374.6,3512.0,1332.1,552.4,1292.4,600.9,26.7,1048.5,177.2,13451.9,233.1,39.1,1041.0,448.6,7.0,152.8,466.0,2
23,11370.8,252.5,586.2,146.5,3831.5,980.7,276.4,933.9,181.9,86.6,823.9,290.3,10685.7,274.2,34.4,1220.0,614.9,46.5,129.7,186.4,2
24,8989.8,287.1,453.9,304.4,3504.3,1231.7,304.0,1631.9,432.8,43.9,937.5,139.5,8749.4,212.3,39.2,1215.2,500.1,51.9,372.4,361.7,2
25,10776.7,243.8,693.3,214.3,3989.0,846.4,321.4,1290.3,142.4,175.2,756.7,306.5,16457.3,154.1,42.9,1232.2,611.9,9.7,161.9,218.2,2
26,11894.5,291.3,585.5,218.6,4107.9,935.3,375.3,966.0,459.3,47.2,898.4,173.4,10369.7,421.5,65.3,1107.1,574.6,55.8,246.8,250.4,2
27,11043.8,365.2,762.3,299.8,3728.0,1086.2,445.9,1353.0,301.9,53.0,620.9,232.5,10945.5,344.0,53.3,1184.5,522.0,15.9,224.2,339.9,2
28,8801.0,187.5,768.7,151.5,3354.9,1110.2,407.7,1457.4,62.5,13.9,1051.5,40.7,15556.9,310.1,33.9,1322.0,459.6,8.2,274.8,275.0,2
29,9248.0,307.5,888.9,220.3,4533.2,1065.0,308.6,1103.7,483.1,68.0,760.1,43.0,10102.0,189.6,41.2,860.7,650.2,3.0,150.7,136.1,2
30,9986.2,214.3,690.8,304.5,4062.2,910.5,325.8,1455.5,85.3,101.0,825.0,199.0,6886.9,305.1,21.6,1108.9,447.1,6.8,269.5,154.6,2
31,6192.5,280.1,1222.9,204.7,3388.7,1036.7,432.3,1347.4,514.6,23.8,834.2,138.2,16835.3,216.2,39.4,628.2,686.6,14.7,37.0,325.3,2
32,11178.7,422.1,400.6,239.0,1597.6,1278.7,741.9,1650.4,1823.8,38.5,433.3,231.7,54318.8,151.1,26.0,1967.0,227.6,4.3,519.7,705.7,2
33,10234.7,340.8,772.4,322.0,5238.3,1095.3,374.7,1326.6,78.5,105.3,746.9,141.3,17379.3,260.9,40.2,1397.3,831.8,2.3,172.9,307.2,2
34,10291.4,218.3,733.7,269.1,3980.8,734.0,462.9,1286.0,135.4,80.7,1039.1,187.9,16485.4,203.4,18.9,1258.4,659.6,9.6,183.7,262.8,2
35,14456.5,239.9,470.9,242.5,3159.7,1483.0,209.9,2343.2,457.1,67.9,658.7,226.0,17456.9,358.5,55.5,2189.0,426.9,30.9,52.6,278.3,2
36,10620.4,440.4,164.9,1607.1,3433.0,1467.9,478.3,2513.0,501.9,162.1,905.2,314.5,1127.2,108.6,86.8,2229.3,345.0,56.6,289.1,198.4,2
37,13109.1,218.7,744.4,292.0,4345.8,771.8,327.4,1244.8,220.0,48.7,1180.2,351.4,13598.5,440.5,19.9,1395.8,621.3,36.6,222.8,190.1,2
38,10275.1,509.7,951.7,218.0,4970.0,1201.7,363.4,1008.4,72.9,82.6,758.5,78.8,15339.9,321.0,19.5,1557.0,493.2,12.2,317.2,622.9,2
39,12309.6,275.6,667.2,143.9,4224.6,1122.4,354.1,1498.7,52.0,100.4,1025.2,237.6,14188.7,290.0,26.3,1399.8,582.6,5.6,203.3,182.5,2
40,11826.5,248.9,1026.8,344.8,5080.8,1154.3,348.0,1089.7,137.1,139.4,763.7,140.6,9605.8,368.2,41.2,1031.5,537.0,12.2,102.0,241.1,2
41,11964.9,175.9,718.5,246.3,4006.7,913.7,308.5,1168.1,340.9,56.4,986.0,356.1,12972.6,547.0,28.2,1065.0,491.3,1.7,285.4,158.8,2
42,10830.9,116.3,537.4,203.7,4139.3,910.9,323.4,1218.6,200.8,63.2,847.4,440.0,17765.3,705.8,17.1,1479.2,696.6,19.5,148.8,296.0,2
43,14566.0,260.0,801.2,288.6,4629.8,1243.4,349.2,940.0,375.0,5.9,1053.2,169.3,17535.5,301.0,38.9,822.8,479.5,20.3,162.2,177.6,2
44,10246.6,165.6,543.1,298.4,3310.0,928.7,341.7,1329.8,381.2,37.6,1106.2,310.6,14264.8,289.1,48.2,1271.1,569.8,4.7,573.3,238.2,2
45,11316.5,279.5,753.8,170.0,3878.5,873.2,259.3,982.2,272.4,113.0,1096.0,203.3,14542.7,526.0,16.7,1068.5,593.9,13.7,246.8,229.4,2
46,11598.8,90.3,918.3,186.1,3709.5,950.0,293.3,1010.0,296.5,124.9,1003.0,250.0,17820.8,308.0,40.1,1032.8,612.3,12.6,76.0,189.8,2
