id;gene;frequency
205455_at;MST1R;1
208820_at;PTK2;1
204718_at;EPHB6;1
202351_at;ITGAV;1
208644_at;PARP1;1
212953_x_at;CALR;1
202178_at;PRKCZ;1
204503_at;EVPL;1
33322_i_at;SFN;1
203407_at;PPL;1
209309_at;AZGP1;1
204247_s_at;CDK5;1
210880_s_at;EFS;1
202136_at;ZMYND11;1
203408_s_at;SATB1;1
205900_at;KRT1;1
200965_s_at;ABLIM1;1
212739_s_at;NME4;1
200606_at;DSP;1
204454_at;LDOC1;1
213366_x_at;ATP5C1;1
204734_at;KRT15;1
218901_at;PLSCR4;1
209604_s_at;GATA3;1
201820_at;KRT5;1
213135_at;TIAM1;0.998
216836_s_at;ERBB2;0.998
211986_at;AHNAK;0.998
209351_at;KRT14;0.998
216320_x_at;MST1;0.996
200632_s_at;NDRG1;0.996
205325_at;PHYHIP;0.996
212741_at;MAOA;0.996
202185_at;PLOD3;0.996
201254_x_at;RPS6;0.996
200636_s_at;PTPRF;0.994
210774_s_at;NCOA4;0.994
204252_at;CDK2;0.994
200953_s_at;CCND2;0.994
213491_x_at;RPN2;0.99
204004_at;PAWR;0.988
206580_s_at;EFEMP2;0.988
207324_s_at;DSC1;0.988
212445_s_at;NEDD4L;0.986
205464_at;SCNN1B;0.984
201739_at;SGK1;0.984
204610_s_at;CCDC85B;0.984
204600_at;EPHB3;0.982
218744_s_at;PACSIN3;0.98
215116_s_at;DNM1;0.978
221526_x_at;PARD3;0.978
201328_at;ETS2;0.976
209442_x_at;ANK3;0.976
215867_x_at;CA12;0.976
211373_s_at;PSEN2;0.974
218678_at;NES;0.974
218996_at;TFPT;0.97
201938_at;CDK2AP1;0.968
210633_x_at;KRT10;0.968
208614_s_at;FLNB;0.958
201577_at;NME1;0.954
207163_s_at;AKT1;0.954
204857_at;MAD1L1;0.95
208637_x_at;ACTN1;0.948
205883_at;ZBTB16;0.938
204092_s_at;AURKA;0.938
217736_s_at;EIF2AK1;0.936
202329_at;CSK;0.934
209072_at;MBP;0.93
202085_at;TJP2;0.928
218182_s_at;CLDN1;0.928
210372_s_at;TPD52L1;0.918
205681_at;BCL2A1;0.916
209002_s_at;CALCOCO1;0.912
220635_at;PSORS1C2;0.908
201241_at;DDX1;0.904
209863_s_at;TP63;0.902
