id;gene;pval;adjPVal
209663_s_at;ITGA7;0.171192103336246;0.273199345916485
221088_s_at;PPP1R9A;0.00275211559355406;0.00842687953725518
201859_at;SRGN;0.638359531645086;0.740468627261724
210761_s_at;GRB7;2.63717882451975e-05;0.000133427801149923
209615_s_at;PAK1;0.407940778568118;0.537472401060028
204592_at;DLG4;0.275867353467657;0.399116062946961
207105_s_at;PIK3R2;0.0656238156940922;0.126786507650126
213521_at;PTPN18;0.0090837425052035;0.0237882171763834
205596_s_at;SMURF2;0.00226245344506285;0.00709969703066661
218915_at;NF2;0.000206796112793128;0.000845443100765102
203904_x_at;CD82;3.60154105799469e-07;2.96617037595847e-06
204259_at;MMP7;0.683553444833159;0.777738002120873
202704_at;TOB1;2.22402736418783e-05;0.000114259475858163
217109_at;MUC4;0.847468835212739;0.898298601617227
204746_s_at;PICK1;0.0370304165876474;0.0785067437983328
203221_at;TLE1;0.08714663044502;0.159658143878025
212770_at;TLE3;0.0086870014469831;0.0228497563833753
201209_at;HDAC1;1.43490623820437e-05;7.74911351621212e-05
210993_s_at;SMAD1;2.70072717812422e-07;2.2969041619666e-06
211202_s_at;KDM5B;3.94968119746029e-07;3.2264478574249e-06
203547_at;CD4;0.0256631536293501;0.0578404086306355
206607_at;CBL;1.24031813487858e-05;6.80704886841618e-05
202789_at;PLCG1;1.01534474977301e-05;5.68465743916802e-05
216638_s_at;PRLR;0.811504102697626;0.872649603640609
205546_s_at;TYK2;6.95713135830668e-06;4.0587053775805e-05
212271_at;MAPK1;1.14309779143078e-05;6.33186025186868e-05
206219_s_at;VAV1;0.444304828633948;0.572279823205226
212983_at;HRAS;0.363029410054229;0.491508954353256
205504_at;BTK;0.821592766695498;0.879373381358299
206943_at;TGFBR1;0.00809397877481435;0.0215254036678853
209269_s_at;SYK;0.243359559611926;0.3618985624204
204657_s_at;SHB;0.0252166429365294;0.0569956292506752
210039_s_at;PRKCQ;0.964291512105246;0.976475982855969
206301_at;TEC;0.330928506396839;0.458626337099354
212195_at;IL6ST;0.000271835205588643;0.0010799122148933
200775_s_at;HNRNPK;0.0380586916124732;0.0802512670836803
203761_at;SLA;0.322745923646474;0.45008026072819
203110_at;PTK2B;2.27128994559473e-06;1.52337268775887e-05
203358_s_at;EZH2;0.00987194827950258;0.0255294388443366
205270_s_at;LCP2;6.26699738146265e-06;3.69924462998329e-05
208944_at;TGFBR2;0.00573720208563921;0.0159498555647457
215706_x_at;ZYX;1.17347043415042e-10;3.05812725020043e-09
209370_s_at;SH3BP2;0.072565587834693;0.137581889461531
209339_at;SIAH2;6.75049878832381e-06;3.95291502817913e-05
211005_at;LAT;0.939155706924451;0.959807459165331
201288_at;ARHGDIB;0.677437944142142;0.77281952529109
213337_s_at;SOCS1;0.524958878231767;0.645079211288927
204894_s_at;AOC3;0.0499823213762031;0.100900852873452
