gene;frequency
NDRG1;1
PHYHIP;1
SDC4;0.997
ABLIM1;0.997
ADRB2;0.996
LDOC1;0.995
EFNB2;0.994
TPD52L1;0.993
GIPC1;0.986
PTPRF;0.985
PLSCR4;0.982
ITGB4;0.979
ZMYND11;0.977
TPBG;0.975
SATB1;0.973
SMAD2;0.971
CDCP1;0.966
TJP2;0.963
AQP1;0.962
CDK5;0.959
LAMA5;0.953
RPS6;0.933
UBE2A;0.932
TPI1;0.932
KLF4;0.913
LMO3;0.913
CNDP2;0.91
ANK3;0.909
PLOD3;0.908
MAOA;0.902
XPA;0.892
JUP;0.884
SRC;0.881
KRT15;0.877
CCDC85B;0.875
TAF10;0.869
CALR;0.865
COPS8;0.859
VIPR1;0.856
SNTB2;0.845
BMP2;0.845
CDC25B;0.844
TGFBR3;0.84
GSN;0.831
GNA15;0.817
PPP1CA;0.812
PSEN2;0.806
RPS14;0.804
EFEMP2;0.798
ITGAV;0.797
RUNX3;0.794
SVIL;0.791
NME4;0.791
MKL2;0.788
PCNA;0.78
PBX1;0.777
ACVR1;0.771
TP53;0.769
CYB5R2;0.751
CDK2;0.746
HOXB7;0.744
CTSB;0.742
TRIP13;0.741
PRKDC;0.737
TIAM1;0.73
TIMP2;0.727
GFI1B;0.715
BCR;0.697
E2F6;0.697
FAS;0.697
PAWR;0.696
ALDH2;0.688
MEIS1;0.681
ACTA1;0.679
SMAD1;0.678
ESR1;0.677
CSNK2A1;0.671
EPHB6;0.665
SMTN;0.652
WDR61;0.647
DSC3;0.643
CD82;0.641
ALOX12;0.64
COL4A6;0.639
DSP;0.631
HDAC1;0.63
KRT5;0.624
RAB17;0.621
MAD1L1;0.619
DNM1;0.607
PIK3CA;0.593
CDK2AP1;0.589
NACA;0.585
ATP1A1;0.585
CREBBP;0.582
SPINT2;0.578
STXBP1;0.577
PSAP;0.569
NR3C2;0.568
ATP5C1;0.567
PPFIBP2;0.567
CALCOCO1;0.567
AKT1;0.563
PSMC4;0.559
HIP1R;0.558
NFATC1;0.552
MIF;0.55
WASF3;0.545
GPRASP1;0.54
PTPRK;0.534
RPS27A;0.53
BAG1;0.529
RHOD;0.529
CLDN1;0.528
PTK2;0.525
FLNB;0.523
ACTR1B;0.521
TCF4;0.517
EIF3H;0.516
TIMP3;0.515
CFL1;0.514
DMD;0.509
AHNAK;0.505
LGALS3;0.503
PPFIA1;0.498
SCNN1B;0.498
KLF13;0.496
BCL2L2;0.493
SFN;0.49
GPX1;0.49
EDN1;0.489
MAP1A;0.486
FIBP;0.484
BCAM;0.483
COL7A1;0.48
DSG3;0.471
PSMC3;0.464
DGKA;0.464
KPNA2;0.462
TP63;0.462
RTN4;0.461
ITGA3;0.461
LTB4R;0.461
PTN;0.458
SMARCD3;0.457
POLR2J;0.455
CIB1;0.453
UBQLN4;0.448
XPO6;0.444
ZBTB16;0.444
MST1R;0.441
UTRN;0.441
ACTB;0.435
GJA1;0.432
FADD;0.428
FXR2;0.419
LYST;0.417
PML;0.416
ETS2;0.412
RPS3;0.407
COL4A5;0.405
BDKRB2;0.405
HSP90AA1;0.396
GATA3;0.395
APP;0.392
AURKA;0.386
EIF2AK1;0.385
PDLIM1;0.375
MAD2L1BP;0.374
FHIT;0.373
HSPD1;0.371
CDK14;0.37
S100A13;0.368
MBP;0.368
BEND5;0.368
ST14;0.363
EZH2;0.362
BAZ1B;0.358
SEPT8;0.355
NME1;0.353
CUL5;0.352
NMT2;0.352
YWHAZ;0.344
PRKCD;0.341
RAMP3;0.34
IFI16;0.339
F11R;0.334
YWHAB;0.333
PTTG1;0.331
CABIN1;0.328
ATXN1;0.326
MDFI;0.324
MARCKS;0.323
ID1;0.319
CEBPA;0.319
PPARA;0.319
GJB1;0.318
CBFB;0.317
MMP2;0.316
COTL1;0.312
EVPL;0.307
HOOK2;0.307
ACOT7;0.306
NOTCH3;0.305
EWSR1;0.304
EIF3F;0.303
KLHDC2;0.303
HSPB8;0.302
SMARCB1;0.287
PARP1;0.284
FKBP4;0.283
CISH;0.281
KLF5;0.281
RPL11;0.281
KRT14;0.281
NUP62;0.28
ABL1;0.278
CSTA;0.278
ELF3;0.277
KLF11;0.276
ACTN1;0.273
ATOX1;0.272
HLF;0.272
CTDP1;0.271
CRIP1;0.269
TRRAP;0.268
TSPAN3;0.268
PHC2;0.267
POLA2;0.266
MYO9B;0.265
NDRG2;0.265
FGFBP1;0.265
PRKCA;0.264
SLC18A2;0.264
RASL12;0.262
SMARCD1;0.258
MAP4K5;0.255
RASIP1;0.254
PLCD1;0.254
LEMD3;0.253
TUBA4A;0.253
SSBP2;0.253
RPL3;0.253
RPS15A;0.252
CDC37L1;0.252
S100A11;0.25
PSMA4;0.249
CHD4;0.246
DDX24;0.246
COPS6;0.245
CDKN2A;0.243
EIF2S1;0.242
