   topic_0   39 topic_102
   topic_1    3 topic_11
   topic_2    8 topic_185
   topic_3    3 topic_79
   topic_4    5 topic_195
   topic_5   25 topic_26
   topic_6    4 topic_40
   topic_7   21 topic_5
   topic_8    4 topic_46
   topic_9    7 topic_129
  topic_10    4 topic_102
  topic_11   33 topic_184
  topic_12    9 topic_179
  topic_13    4 topic_119
  topic_14   13 topic_1
  topic_15    4 topic_84
  topic_16    5 topic_99
  topic_17   21 topic_147
  topic_18    7 topic_99
  topic_19    5 topic_155
  topic_20   13 topic_26
  topic_21   22 topic_165
  topic_22    9 topic_34
  topic_23   32 topic_50
  topic_24   10 topic_182
  topic_25   25 topic_148
  topic_26    5 topic_129
  topic_27   27 topic_164
  topic_28   22 topic_162
  topic_29    3 topic_130
  topic_30    7 topic_87
  topic_31    5 topic_25
  topic_32    4 topic_26
  topic_33    6 topic_62
  topic_34    8 topic_122
  topic_35    8 topic_65
  topic_36    3 topic_145
  topic_37    4 topic_18
  topic_38    2 topic_10
  topic_39    4 topic_109
  topic_40    9 topic_77
  topic_41    8 topic_162
  topic_42   14 topic_145
  topic_43    2 topic_77
  topic_44    3 topic_100
  topic_45    6 topic_81
  topic_46    6 topic_14
  topic_47    2 topic_152
  topic_48    8 topic_50
  topic_49    4 topic_61
  topic_50   16 topic_198
  topic_51   11 topic_159
  topic_52   14 topic_133
  topic_53    3 topic_130
  topic_54    8 topic_29
  topic_55    7 topic_41
  topic_56   13 topic_111
  topic_57    3 topic_192
  topic_58    8 topic_132
  topic_59    5 topic_29
  topic_60    3 topic_139
  topic_61    6 topic_29
  topic_62    6 topic_9
  topic_63   33 topic_98
  topic_64   17 topic_137
  topic_65   11 topic_64
  topic_66    2 topic_180
  topic_67    3 topic_46
  topic_68    4 topic_13
  topic_69   24 topic_141
  topic_70    8 topic_167
  topic_71    6 topic_25
  topic_72    3 topic_163
  topic_73    4 topic_153
  topic_74   23 topic_165
  topic_75    9 topic_161
  topic_76    7 topic_174
  topic_77   14 topic_96
  topic_78    8 topic_33
  topic_79   12 topic_153
  topic_80   10 topic_16
  topic_81    2 topic_67
  topic_82    4 topic_28
  topic_83   17 topic_134
  topic_84    4 topic_33
  topic_85   12 topic_89
  topic_86    4 topic_157
  topic_87   15 topic_2
  topic_88    4 topic_85
  topic_89   27 topic_30
  topic_90   34 topic_177
  topic_91    3 topic_5
  topic_92    2 topic_115
  topic_93   14 topic_45
  topic_94   10 topic_120
  topic_95    5 topic_74
  topic_96    3 topic_182
  topic_97    3 topic_126
  topic_98   25 topic_173
  topic_99   17 topic_89
 topic_100    5 topic_54
 topic_101   25 topic_191
 topic_102    6 topic_59
 topic_103    4 topic_8
 topic_104    5 topic_98
 topic_105    7 topic_70
 topic_106    4 topic_176
 topic_107    3 topic_137
 topic_108   13 topic_38
 topic_109   17 topic_75
 topic_110    6 topic_75
 topic_111    8 topic_100
 topic_112   17 topic_194
 topic_113    8 topic_40
 topic_114    5 topic_180
 topic_115   20 topic_165
 topic_116   30 topic_143
 topic_117   17 topic_180
 topic_118    4 topic_48
 topic_119    3 topic_82
 topic_120   23 topic_116
 topic_121    4 topic_139
 topic_122    4 topic_196
 topic_123   13 topic_101
 topic_124   11 topic_136
 topic_125   14 topic_64
 topic_126    5 topic_58
 topic_127   19 topic_185
 topic_128    2 topic_30
 topic_129   10 topic_44
 topic_130    3 topic_77
 topic_131    5 topic_21
 topic_132    9 topic_32
 topic_133   12 topic_127
 topic_134    3 topic_32
 topic_135   10 topic_43
 topic_136   19 topic_167
 topic_137    4 topic_1
 topic_138    4 topic_65
 topic_139   20 topic_188
 topic_140   25 topic_116
 topic_141    5 topic_131
 topic_142   12 topic_28
 topic_143    4 topic_115
 topic_144   25 topic_124
 topic_145    6 topic_164
 topic_146    6 topic_112
 topic_147    5 topic_60
 topic_148   14 topic_191
 topic_149    3 topic_130
 topic_150    4 topic_140
 topic_151   15 topic_35
 topic_152   28 topic_176
 topic_153    5 topic_125
 topic_154    4 topic_154
 topic_155    2 topic_119
 topic_156   21 topic_37
 topic_157   26 topic_133
 topic_158   11 topic_96
 topic_159   11 topic_171
 topic_160    4 topic_66
 topic_161    2 topic_118
 topic_162   20 topic_10
 topic_163    8 topic_44
 topic_164    3 topic_168
 topic_165    3 topic_120
 topic_166    5 topic_132
 topic_167    5 topic_112
 topic_168   36 topic_107
 topic_169   17 topic_125
 topic_170   28 topic_93
 topic_171    7 topic_152
 topic_172   11 topic_122
 topic_173   13 topic_116
 topic_174    4 topic_187
 topic_175    3 topic_41
 topic_176    4 topic_130
 topic_177   29 topic_92
 topic_178    6 topic_15
 topic_179    9 topic_3
 topic_180   13 topic_65
 topic_181    6 topic_179
 topic_182    2 topic_145
 topic_183   19 topic_34
 topic_184    7 topic_50
 topic_185   22 topic_136
 topic_186    4 topic_35
 topic_187    5 topic_127
 topic_188    5 topic_189
 topic_189    6 topic_175
 topic_190   11 topic_171
 topic_191   32 topic_20
 topic_192   37 topic_53
 topic_193    5 topic_165
 topic_194    3 topic_159
 topic_195    8 topic_55
 topic_196   32 topic_52
 topic_197    2 topic_124
 topic_198    7 topic_101
 topic_199   29 topic_47
